Class,Precision,Recall,F1-Score
No Label,0.8251028806584362,0.8755458515283843,0.8495762711864406
Wall with Dimension,0.24324324324324326,0.15789473684210525,0.19148936170212766
Connected Label,0.38461538461538464,0.5,0.43478260869565216
Door Marker,0.0,0.0,0.0
Zone Stamp,0.0,0.0,0.0
