id,category,family,type,level_id,host_id,min_x,min_y,min_z,max_x,max_y,max_z,cx,cy,cz,length,height,thickness,area,width,depth,dir_x,dir_y,dir_z,room_name,room_number,level_elevation
2446354,Levels,Level,WH_Project level,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,408.05446194225726
2446422,Levels,Level,WH_Project level,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,418.96325459317586
7742895,Levels,Level,WH_Project level,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,397.1456692913386
7949054,Levels,Level,WH_Project level,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,429.8720472440945
8170109,Rooms,UnknownFamily,UnknownType,7949054,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Room 1,1,0
8628934,Levels,Level,WH_Project level,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,440.7808398950132
8737333,Walls,Basic Wall,S(200)=200RC_NLBW_PPVC,-1,-1,30.019981947289118,-86.20284958402499,450.54133858267716,33.5960973646894,-85.54668160502237,460.23622047244095,31.80803965598926,-85.87476559452368,455.38877952755905,3.576115417400282,9.69488188976378,0.6561679790026247,0,0,0,1,0,0,,,0
8737611,Walls,Basic Wall,S(90)=90RC_NLBW_PPVC,-1,-1,29.724706356738594,-89.64772464994414,449.6391076115486,30.019981947289775,-88.86032989898567,460.4822834645669,29.872344152014186,-89.2540272744649,455.06069553805776,0.7873947509584676,10.843175853018295,0.2952755905511811,0,0,0,0,1,0,,,0
8737655,Floors,Floor,S(160)=160RC_PPVC,2446354,-1,33.59609736468918,-85.5466741179505,450.01640419947506,36.31919448629751,-77.37739026643972,450.54133858267716,34.957645925493345,-81.46203219219511,450.2788713910761,0,0,0,22.24575103260952,0,0,0,0,0,,,0
8738448,Structural Framing,S_BEAM_PPVC,200(W)x275(D),-1,-1,30.019981879124785,-77.37739026643973,449.6391076115485,36.97536245655278,-76.72122228743709,450.54133858267716,33.497672167838786,-77.04930627693841,450.0902230971128,6.955380577427992,0,0,0,0,0,0,0,0,,,0
8738452,Structural Framing,S_BEAM_PPVC,200(W)x275(D),-1,-1,29.72470635673844,-85.54774230299287,449.6391076115485,30.380874335741087,-77.36204676493512,450.54133858267716,30.052790346239764,-81.454894533964,450.0902230971128,8.185695538057743,0,0,0,0,0,0,0,0,,,0
8738462,Floors,Floor,S(140)=140RC_PPVC,2446354,-1,30.019981947290034,-89.6487921717594,449.63912333417295,36.975362468412236,-86.20283874004302,450.0984409194748,33.49767220785114,-87.92581545590122,449.8687821268239,0,0,0,20.931447831455102,0,0,0,0,0,,,0
