Class,Precision,Recall,F1-Score,Support
No Annotation,0.9037111334002006,0.5417919422730006,0.6774436090225564,1663
Dimension,0.5571428571428572,0.5186170212765957,0.5371900826446281,376
Text,0.22237017310252996,0.5585284280936454,0.3180952380952381,299
Both,0.15223880597014924,0.5368421052631579,0.2372093023255814,95
