annotation_id,element_id,view_name,view_type,category,annotation_type,value,x,y,extra,target_element_ids
1,12316506,Elevation A,Elevation,Dimensions,WH_Arial_2.5mm_Transparent,,0,0,WH_Arial_2.5mm_Transparent,12301353|2446354
2,12316523,Elevation A,Elevation,Dimensions,WH_Arial_2.5mm_Transparent,,0,0,WH_Arial_2.5mm_Transparent,2446422|2446354|8738876
3,12316991,Elevation A,Elevation,Dimensions,WH_Arial_2.5mm_Transparent,2830.00,0,0,WH_Arial_2.5mm_Transparent,12299284|12301353
4,12318014,Elevation C,Elevation,Dimensions,WH_Arial_2.5mm_Transparent,,0,0,WH_Arial_2.5mm_Transparent,2446422|2446354|12301353
5,12318021,Elevation C,Elevation,Dimensions,WH_Arial_2.5mm_Transparent,,0,0,WH_Arial_2.5mm_Transparent,12301353|2446354|12410798
6,12318041,Elevation C,Elevation,Dimensions,WH_Arial_2.5mm_Transparent,3305.00,0,0,WH_Arial_2.5mm_Transparent,12301353
7,12318145,Elevation C,Elevation,Dimensions,WH_Arial_2.5mm_Transparent,345.00,0,0,WH_Arial_2.5mm_Transparent,12301353|2446422
8,12318249,Elevation C,Elevation,Dimensions,WH_Arial_2.5mm_Transparent,8329.88,0,0,WH_Arial_2.5mm_Transparent,12301353|12302167
9,12318266,Elevation C,Elevation,Dimensions,WH_Arial_2.5mm_Transparent,,0,0,WH_Arial_2.5mm_Transparent,12302167|2446354
10,12322891,Elevation C,Elevation,Dimensions,WH_Arial_2.5mm_Transparent,,0,0,WH_Arial_2.5mm_Transparent,2446354|8737719
11,12324750,Elevation B,Elevation,Dimensions,WH_Arial_2.5mm_Transparent,,0,0,WH_Arial_2.5mm_Transparent,12346942|8737439|2446354
12,12327705,Elevation B,Elevation,Dimensions,WH_Arial_2.5mm_Transparent,,0,0,WH_Arial_2.5mm_Transparent,12303468|12302167
13,12327760,Elevation B,Elevation,Dimensions,WH_Arial_2.5mm_Transparent,2830.00,0,0,WH_Arial_2.5mm_Transparent,12303468|12302167
14,12327776,Elevation B,Elevation,Dimensions,WH_Arial_2.5mm_Transparent,,0,0,WH_Arial_2.5mm_Transparent,12302167|12346942|2446354|8738990
15,12327792,Elevation B,Elevation,Dimensions,WH_Arial_2.5mm_Transparent,,0,0,WH_Arial_2.5mm_Transparent,12302167|8738990|2446422
16,12327804,Elevation B,Elevation,Dimensions,WH_Arial_2.5mm_Transparent,,0,0,WH_Arial_2.5mm_Transparent,12302167|2446354|2446422
17,12327904,Elevation B,Elevation,Dimensions,WH_Arial_2.5mm_Transparent,,0,0,WH_Arial_2.5mm_Transparent,12303468|2446354|8738990
18,12328195,Elevation B,Elevation,Dimensions,WH_Arial_2.5mm_Transparent,75.00,0,0,WH_Arial_2.5mm_Transparent,8738990
19,12331790,Elevation D,Elevation,Dimensions,WH_Arial_2.5mm_Transparent,,0,0,WH_Arial_2.5mm_Transparent,12297601|12303468|12517863
20,12333311,Elevation D,Elevation,Dimensions,WH_Arial_2.5mm_Transparent,,0,0,WH_Arial_2.5mm_Transparent,12297601|12303468|2446354
21,12333350,Elevation D,Elevation,Dimensions,WH_Arial_2.5mm_Transparent,,0,0,WH_Arial_2.5mm_Transparent,12297601|12303468|2446354|2446422
22,12362635,Elevation A,Elevation,Dimensions,WH_Arial_2.5mm_Transparent,,0,0,WH_Arial_2.5mm_Transparent,2446354|8737719
23,12364078,Elevation A,Elevation,Dimensions,WH_Arial_2.5mm_Transparent,,0,0,WH_Arial_2.5mm_Transparent,2446422|8738990|8738876
24,12364661,Elevation A,Elevation,Dimensions,WH_Arial_2.5mm_Transparent,,0,0,WH_Arial_2.5mm_Transparent,8738990|12410798|2446354|8737719|8738876
25,12366010,Elevation C,Elevation,Dimensions,WH_Arial_2.5mm_Transparent,,0,0,WH_Arial_2.5mm_Transparent,12301353|12302167
26,12367012,Elevation C,Elevation,Dimensions,WH_Arial_2.5mm_Transparent,35.00,0,0,WH_Arial_2.5mm_Transparent,
27,12367019,Elevation C,Elevation,Dimensions,WH_Arial_2.5mm_Transparent,,0,0,WH_Arial_2.5mm_Transparent,2446354
28,12367657,Elevation C,Elevation,Dimensions,WH_Arial_2.5mm_Transparent,50.00,0,0,WH_Arial_2.5mm_Transparent,12366170
29,12367670,Elevation C,Elevation,Dimensions,WH_Arial_2.5mm_Transparent,,0,0,WH_Arial_2.5mm_Transparent,2446354
