annotation_id,element_id,view_name,view_type,category,annotation_type,value,x,y,extra,target_element_ids
1,12250318,ELEVATION A,Elevation,Dimensions,WH_Arial_2.5mm_Transparent,,0,0,WH_Arial_2.5mm_Transparent,2446422|2446354|8738844
2,12250330,ELEVATION A,Elevation,Dimensions,WH_Arial_2.5mm_Transparent,,0,0,WH_Arial_2.5mm_Transparent,2446422|9261982|8738844
3,12259211,ELEVATION A,Elevation,Dimensions,WH_Arial_2.5mm_Transparent,,0,0,WH_Arial_2.5mm_Transparent,9261982|12327461|2446354|12225982
4,12259298,ELEVATION A,Elevation,Dimensions,WH_Arial_2.5mm_Transparent,3190.00,0,0,WH_Arial_2.5mm_Transparent,12225982|12243989
5,12259306,ELEVATION A,Elevation,Dimensions,WH_Arial_2.5mm_Transparent,,0,0,WH_Arial_2.5mm_Transparent,12225982|12243989
6,12259834,ELEVATION C,Elevation,Dimensions,WH_Arial_2.5mm_Transparent,,0,0,WH_Arial_2.5mm_Transparent,12308203|12243989|12244494
7,12260675,ELEVATION C,Elevation,Dimensions,WH_Arial_2.5mm_Transparent,,0,0,WH_Arial_2.5mm_Transparent,2446422|2446354|8737749
8,12260687,ELEVATION C,Elevation,Dimensions,WH_Arial_2.5mm_Transparent,,0,0,WH_Arial_2.5mm_Transparent,2446422|12243989|8737749
9,12260699,ELEVATION C,Elevation,Dimensions,WH_Arial_2.5mm_Transparent,,0,0,WH_Arial_2.5mm_Transparent,8737749|12308203|2446354|12243989
10,12260741,ELEVATION C,Elevation,Dimensions,WH_Arial_2.5mm_Transparent,,0,0,WH_Arial_2.5mm_Transparent,12244494
11,12260896,ELEVATION C,Elevation,Dimensions,WH_Arial_2.5mm_Transparent,,0,0,WH_Arial_2.5mm_Transparent,2446354
12,12262052,ELEVATION B,Elevation,Dimensions,WH_Arial_2.5mm_Transparent,,0,0,WH_Arial_2.5mm_Transparent,12230714|2446354|2446422
13,12262064,ELEVATION B,Elevation,Dimensions,WH_Arial_2.5mm_Transparent,,0,0,WH_Arial_2.5mm_Transparent,12244494|2446422
14,12263417,ELEVATION B,Elevation,Dimensions,WH_Arial_2.5mm_Transparent,3190.05,0,0,WH_Arial_2.5mm_Transparent,12244494|12229981
15,12263424,ELEVATION B,Elevation,Dimensions,WH_Arial_2.5mm_Transparent,,0,0,WH_Arial_2.5mm_Transparent,12244494|12229981
16,12263546,ELEVATION B,Elevation,Dimensions,WH_Arial_2.5mm_Transparent,,0,0,WH_Arial_2.5mm_Transparent,12230714
17,12263577,ELEVATION B,Elevation,Dimensions,WH_Arial_2.5mm_Transparent,,0,0,WH_Arial_2.5mm_Transparent,12229981|2446354
18,12263639,ELEVATION B,Elevation,Dimensions,WH_Arial_2.5mm_Transparent,,0,0,WH_Arial_2.5mm_Transparent,12229981|12230207|12230714|12244494
19,12264349,ELEVATION B,Elevation,Dimensions,WH_Arial_2.5mm_Transparent,,0,0,WH_Arial_2.5mm_Transparent,12282940|2446354
20,12264922,ELEVATION D,Elevation,Dimensions,WH_Arial_2.5mm_Transparent,,0,0,WH_Arial_2.5mm_Transparent,2446422|2446354|12229981
21,12267640,ELEVATION A,Elevation,Dimensions,WH_Arial_2.5mm_Transparent,,0,0,WH_Arial_2.5mm_Transparent,9261982|8738844|12243989
22,12268393,ELEVATION C,Elevation,Dimensions,WH_Arial_2.5mm_Transparent,,0,0,WH_Arial_2.5mm_Transparent,8737749|8738844|12244494
23,12268489,ELEVATION C,Elevation,Dimensions,WH_Arial_2.5mm_Transparent,,0,0,WH_Arial_2.5mm_Transparent,12243989|12327461|12230714|12244494
24,12272778,ELEVATION D,Elevation,Dimensions,WH_Arial_2.5mm_Transparent,,0,0,WH_Arial_2.5mm_Transparent,2446422|9261982|12229981
25,12273270,ELEVATION D,Elevation,Dimensions,WH_Arial_2.5mm_Transparent,,0,0,WH_Arial_2.5mm_Transparent,12229981|8738844|8737749
26,12274496,ELEVATION D,Elevation,Dimensions,WH_Arial_2.5mm_Transparent,,0,0,WH_Arial_2.5mm_Transparent,12229981|9261982
27,12285774,ELEVATION B,Elevation,Dimensions,WH_Arial_2.5mm_Transparent,,0,0,WH_Arial_2.5mm_Transparent,12244494|12229981
28,12301277,ELEVATION D,Elevation,Dimensions,WH_Arial_2.5mm_Transparent,9615.00,0,0,WH_Arial_2.5mm_Transparent,12229981|8737749
29,12301477,ELEVATION D,Elevation,Dimensions,WH_Arial_2.5mm_Transparent,,0,0,WH_Arial_2.5mm_Transparent,8737749|2446354|12327461|12225982
30,12309925,ELEVATION D,Elevation,Dimensions,WH_Arial_2.5mm_Transparent,85.00,0,0,WH_Arial_2.5mm_Transparent,12308203
