id,category,family,type,level_id,host_id,min_x,min_y,min_z,max_x,max_y,max_z,cx,cy,cz,length,height,thickness,area,width,depth,dir_x,dir_y,dir_z,room_name,room_number,level_elevation
2446354,Levels,Level,WH_Project level,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,408.05446194225726
2446422,Levels,Level,WH_Project level,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,418.96325459317586
7742895,Levels,Level,WH_Project level,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,397.1456692913386
7949054,Levels,Level,WH_Project level,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,429.8720472440945
8170109,Rooms,UnknownFamily,UnknownType,7949054,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Room 1,1,0
8628934,Levels,Level,WH_Project level,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,440.7808398950132
8737749,Floors,Floor,S(220)=220RC_PPVC,2446354,-1,40.43664858685757,-154.78986828724513,449.6391076115486,48.934023941780644,-147.6704457150666,450.36089238845153,44.685336264319105,-151.23015700115587,450.00000000000006,0,0,0,60.49640590611179,0,0,0,0,0,,,0
8738844,Structural Framing,S_BEAM_PPVC,300(W)x295(D),-1,-1,39.45239659125232,-147.67044571506648,449.6391076115486,49.590191893942375,-146.68619374656254,450.60695538057746,44.52129424259735,-147.1783197308145,450.12303149606305,10.137795302690062,0,0,0,0,0,0,0,0,,,0
8738846,Structural Framing,S_BEAM_PPVC,200(W)x295(D),-1,-1,49.26210790444103,-147.3064616174038,449.6391076115485,49.918275883443705,-123.90076067569642,450.6069553805775,49.59019189394237,-135.60361114655012,450.12303149606305,23.405700941707394,0,0,0,0,0,0,0,0,,,0
8738850,Structural Framing,S_BEAM_PPVC,200(W)x275(D),-1,-1,40.10840617903097,-123.90076067569639,449.6391076115485,42.17533532643913,-123.24459269669374,450.54133858267716,41.14187075273505,-123.57267668619507,450.0902230971128,2.0669291474081604,0,0,0,0,0,0,0,0,,,0
9258321,Structural Framing,S_BEAM_PPVC,200(W)x275(D),-1,-1,39.45223820002833,-129.16650870719243,449.6391076115485,40.10840617903098,-123.53986828724493,450.54133858267716,39.780322189529656,-126.35318849721868,450.0902230971128,5.626640419947506,0,0,0,0,0,0,0,0,,,0
9261970,Walls,Basic Wall,S(90)=90RC_NLBW_PPVC,-1,-1,39.45223813227888,-139.59957957333418,450.60695538057746,39.747513722830064,-139.50115437648378,460.2362204724409,39.59987592755447,-139.55036697490897,455.4215879265092,0.09842519685039974,9.62926509186343,0.2952755905511811,0,0,0,0,1,0,,,0
