annotation_id,view_name,view_type,category,annotation_type,value,x,y,extra,target_element_ids
109,Elevation D,Elevation,Dimensions,Linear Dimension Style,1160.00,0.0,0.0,Linear Dimension Style,12352908|12352909
110,Elevation D,Elevation,Dimensions,Linear Dimension Style,3.06,0.0,0.0,Linear Dimension Style,12352908|12352897
111,Elevation D,Elevation,Dimensions,Linear Dimension Style,43.06,0.0,0.0,Linear Dimension Style,12352908|12352904
112,Elevation D,Elevation,Dimensions,Linear Dimension Style,480.00,0.0,0.0,Linear Dimension Style,12352902|12352902
113,Elevation D,Elevation,Dimensions,Linear Dimension Style,520.00,0.0,0.0,Linear Dimension Style,12352897|12352895
114,Elevation D,Elevation,Dimensions,Linear Dimension Style,540.00,0.0,0.0,Linear Dimension Style,12352908|12352907
115,Elevation C,Elevation,Dimensions,Linear Dimension Style,440.00,0.0,0.0,Linear Dimension Style,12353295|12353296
116,Elevation C,Elevation,Dimensions,Linear Dimension Style,1880.00,0.0,0.0,Linear Dimension Style,12353295|12353295
117,Elevation C,Elevation,Dimensions,Linear Dimension Style,1200.00,0.0,0.0,Linear Dimension Style,12353310|12353311
118,Elevation C,Elevation,Dimensions,Linear Dimension Style,3670.64,0.0,0.0,Linear Dimension Style,12353311|12353317
119,Elevation C,Elevation,Dimensions,Linear Dimension Style,1440.00,0.0,0.0,Linear Dimension Style,12353316|12353317
120,Elevation C,Elevation,Dimensions,Linear Dimension Style,2524.28,0.0,0.0,Linear Dimension Style,12353317|12353323
121,Elevation C,Elevation,Dimensions,Linear Dimension Style,1000.00,0.0,0.0,Linear Dimension Style,12353322|12353323
122,Elevation C,Elevation,Dimensions,Linear Dimension Style,11.53,0.0,0.0,Linear Dimension Style,12353311|12353323
123,Elevation C,Elevation,Dimensions,Linear Dimension Style,3.06,0.0,0.0,Linear Dimension Style,12353322|12353318
124,Elevation C,Elevation,Dimensions,Linear Dimension Style,460.00,0.0,0.0,Linear Dimension Style,12353317|12353315
125,Elevation C,Elevation,Dimensions,Linear Dimension Style,480.00,0.0,0.0,Linear Dimension Style,12353322|12353321
126,Elevation C,Elevation,Dimensions,Linear Dimension Style,500.00,0.0,0.0,Linear Dimension Style,12353311|12353309
127,Elevation C,Elevation,Dimensions,Linear Dimension Style,1040.00,0.0,0.0,Linear Dimension Style,12353473|12353474
128,Elevation C,Elevation,Dimensions,Linear Dimension Style,540.00,0.0,0.0,Linear Dimension Style,12353473|12353473
129,Elevation B,Elevation,Dimensions,WH_Arial_2.5mm_Transparent,,0.0,0.0,Alignment,12290125|12310175
130,Elevation B,Elevation,Dimensions,WH_Arial_2.5mm_Transparent,,0.0,0.0,Alignment,12353957|12290125
131,Elevation B,Elevation,Dimensions,WH_Arial_2.5mm_Transparent,,0.0,0.0,Alignment,12353957|12290125
132,Elevation B,Elevation,Dimensions,Linear Dimension Style,1460.00,0.0,0.0,Linear Dimension Style,12354068|12354069
133,Elevation B,Elevation,Dimensions,Linear Dimension Style,954.70,0.0,0.0,Linear Dimension Style,12354069|12354080
134,Elevation B,Elevation,Dimensions,Linear Dimension Style,980.00,0.0,0.0,Linear Dimension Style,12354079|12354080
135,Elevation B,Elevation,Dimensions,Linear Dimension Style,1069.62,0.0,0.0,Linear Dimension Style,12354080|12354086
136,Elevation B,Elevation,Dimensions,Linear Dimension Style,1020.00,0.0,0.0,Linear Dimension Style,12354085|12354086
137,Elevation B,Elevation,Dimensions,Linear Dimension Style,10.46,0.0,0.0,Linear Dimension Style,12354085|12354069
138,Elevation B,Elevation,Dimensions,Linear Dimension Style,32.81,0.0,0.0,Linear Dimension Style,12354085|12354081
139,Elevation B,Elevation,Dimensions,Linear Dimension Style,520.00,0.0,0.0,Linear Dimension Style,12354086|12354084
140,Elevation B,Elevation,Dimensions,Linear Dimension Style,500.00,0.0,0.0,Linear Dimension Style,12354080|12354081
141,Elevation B,Elevation,Dimensions,Linear Dimension Style,528.76,0.0,0.0,Linear Dimension Style,12354069|12354067
142,Elevation B,Elevation,Dimensions,Linear Dimension Style,460.00,0.0,0.0,Linear Dimension Style,12354121|12354122
