id,category,family,type,level_id,host_id,min_x,min_y,min_z,max_x,max_y,max_z,cx,cy,cz,length,height,thickness,area,width,depth,dir_x,dir_y,dir_z,room_name,room_number,level_elevation
2446354,Levels,Level,WH_Project level,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,408.05446194225726
2446422,Levels,Level,WH_Project level,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,418.96325459317586
7742895,Levels,Level,WH_Project level,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,397.1456692913386
7949054,Levels,Level,WH_Project level,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,429.8720472440945
8170109,Rooms,UnknownFamily,UnknownType,7949054,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Room 1,1,0
8628934,Levels,Level,WH_Project level,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,440.7808398950132
9567097,Structural Framing,S_BEAM_PPVC,200(W)x295(D),-1,-1,101.54229165857598,-89.00796769424757,449.6391076115486,102.19845963757867,-81.46203593571737,450.60695538057746,101.87037564807733,-85.23500181498247,450.12303149606305,7.545931758502675,0,0,0,0,0,0,0,0,,,0
9567101,Structural Framing,S_BEAM_PPVC,200(W)x295(D),-1,-1,101.54226890650139,-81.46203593573114,449.6391076115486,106.92284633432291,-80.80586795672848,450.60695538057746,104.23255762041215,-81.13395194622981,450.12303149606305,5.380577427821521,0,0,0,0,0,0,0,0,,,0
9567120,Floors,Floor,S(150)=150RC_PPVC,2446354,-1,102.19845963757861,-89.00796769426141,450.1148293963255,106.92286908639763,-81.46203593573112,450.60695538057746,104.56066436198812,-85.23500181499627,450.3608923884515,0,0,0,35.650071300143786,0,0,0,0,0,,,0
10416182,Structural Framing,S_BEAM_PPVC,200(W)x295(D),-1,-1,101.54394345454702,-89.66413567326406,449.6391076115486,106.92449813032151,-89.0079676942614,450.60695538057746,104.23422079243426,-89.33605168376272,450.12303149606305,5.380554675774485,0,0,0,0,0,0,0,0,,,0
10609114,Floors,Floor,S(75)=75RC_PPVC,2446422,-1,101.54229165857669,-89.66413567326404,460.2362204724409,106.95567748534764,-80.80586795672849,460.4822834645669,104.24898457196215,-85.23500181499627,460.3592519685039,0,0,0,46.387060968198824,0,0,0,0,0,,,0
10693233,Levels,Level,WH_Project level,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,350.39370078740154
10693547,Levels,Level,WH_Project level,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,336.04002624671915
10912740,Levels,Level,WH_Project level,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,321.11220472440937
