id,category,family,type,level_id,host_id,min_x,min_y,min_z,max_x,max_y,max_z,cx,cy,cz,length,height,thickness,area,width,depth,dir_x,dir_y,dir_z,room_name,room_number,level_elevation
2446354,Levels,Level,WH_Project level,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,408.05446194225726
2446422,Levels,Level,WH_Project level,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,418.96325459317586
7742895,Levels,Level,WH_Project level,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,397.1456692913386
7949054,Levels,Level,WH_Project level,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,429.8720472440945
8170109,Rooms,UnknownFamily,UnknownType,7949054,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Room 1,1,0
8628934,Levels,Level,WH_Project level,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,440.7808398950132
8737700,Floors,Floor,S(75)=75RC_PPVC,2446354,-1,81.16827591054425,-80.80590281063746,450.01640419947506,87.04097932261811,-77.39379446591515,450.26246719160105,84.10462761658118,-79.09984863827631,450.13943569553805,0,0,0,20.038300318416418,0,0,0,0,0,,,0
8738426,Floors,Floor,S(140)=140RC_PPVC,2446354,-1,81.49635990004553,-94.71664616463298,449.6391076115486,87.04097932261743,-91.43580268104503,450.08116764392787,84.26866961133149,-93.076224422839,449.86013762773825,0,0,0,18.191028501519973,0,0,0,0,0,,,0
8738436,Structural Framing,S_BEAM_PPVC,200(W)x290(D),-1,2446354,81.82444388954684,-81.46203593573124,449.6391076115486,86.74570373206653,-80.80586795672856,450.70538057742783,84.2850738108067,-81.1339519462299,450.1722440944882,4.921259842519386,0,0,0,0,0,0,0,0,,,0
8738646,Floors,Floor,S(75)=75RC_PPVC,2446422,-1,81.82444456825856,-91.43578921657107,460.2362204724409,86.74570544563994,-80.80586795672852,460.4822834645669,84.28507500694926,-86.1208285866498,460.3592519685039,0,0,0,49.406156021961664,0,0,0,0,0,,,0
8740520,Floors,Floor,S(160)=160RC_PPVC,2446354,-1,81.82446597802077,-90.77962123746315,449.9179790026247,86.38481134971047,-87.0394648862817,450.4429133858268,84.10463866386561,-88.90954306187243,450.18044619422574,0,0,0,17.056311979097302,0,0,0,0,0,,,0
10416192,Structural Framing,S_BEAM_PPVC,200(W)x245(D),-1,-1,81.82362395728332,-91.43578921657102,449.6391076115486,87.04179925490378,-90.77960571660148,450.4429133858268,84.43271160609355,-91.10769746658625,450.0410104986877,5.21817529764356,0,0,0,0,0,0,0,0,,,0
10693233,Levels,Level,WH_Project level,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,350.39370078740154
