src,dst,type
9258341,11603501,host
9223220,11704730,host
9223220,11704924,host
9223220,11704933,host
9223220,11704941,host
9223220,11704949,host
9223220,11704957,host
9258341,11715265,host
9258341,11718679,host
9223433,11738219,host
9223433,11738504,host
9223433,11738532,host
9258337,11738572,host
9258337,11738846,host
9258337,11739007,host
9258337,11739028,host
9258337,11739049,host
9258337,11739095,host
9258337,11739327,host
9258337,11739345,host
9223216,11739424,host
9258337,11739610,host
11749503,11781391,host
11749503,11782025,host
9223443,11827114,host
9223443,11835853,host
9223443,11835970,host
11710071,11845600,host
11710071,11846164,host
9223292,11846368,host
9258337,11848002,host
11836857,11851649,host
11853201,11854641,host
11854072,11854909,host
7949054,8170109,level
2446354,9223198,level
2446422,9223251,level
2446354,9223271,level
2446354,9223292,level
2446354,11657859,level
2446354,11710071,level
2446354,11809276,level
2446354,11840058,level
2446354,11841552,level
2446354,2446422,adjacent
2446354,7742895,adjacent
2446354,7949054,adjacent
2446354,8170109,adjacent
2446422,7742895,adjacent
2446422,7949054,adjacent
2446422,8170109,adjacent
7742895,7949054,adjacent
7742895,8170109,adjacent
7949054,8170109,adjacent
9223198,9223216,adjacent
9223198,9223220,adjacent
9223198,9223292,adjacent
9223198,9223433,adjacent
9223198,9223443,adjacent
9223198,9258337,adjacent
9223198,9258341,adjacent
9223198,11602787,adjacent
9223198,11603501,adjacent
9223198,11657859,adjacent
9223198,11678708,adjacent
9223198,11710071,adjacent
9223198,11715265,adjacent
9223198,11718313,adjacent
9223198,11718679,adjacent
9223198,11827114,adjacent
9223198,11845600,adjacent
9223198,11846164,adjacent
9223198,11846368,adjacent
9223198,11848002,adjacent
9223216,9223220,adjacent
9223216,9223271,adjacent
9223216,9258337,adjacent
9223216,11598046,adjacent
9223216,11599001,adjacent
9223216,11726514,adjacent
9223216,11739424,adjacent
9223216,11739610,adjacent
9223216,11809276,adjacent
9223216,11809576,adjacent
9223216,11853201,adjacent
9223216,11854072,adjacent
9223216,11854909,adjacent
9223220,9223443,adjacent
9223220,9258341,adjacent
9223220,11599900,adjacent
9223220,11600597,adjacent
9223220,11601063,adjacent
9223220,11601308,adjacent
9223220,11601321,adjacent
9223220,11601333,adjacent
9223220,11601345,adjacent
9223220,11704730,adjacent
9223220,11704924,adjacent
9223220,11704933,adjacent
9223220,11704941,adjacent
9223220,11704949,adjacent
9223220,11704957,adjacent
9223220,11749503,adjacent
9223220,11781391,adjacent
9223220,11782025,adjacent
9223220,11791611,adjacent
9223220,11791613,adjacent
9223220,11791614,adjacent
9223220,11791615,adjacent
9223220,11791616,adjacent
9223220,11791617,adjacent
9223220,11791618,adjacent
9223220,11809276,adjacent
9223220,11809576,adjacent
9223220,11827114,adjacent
9223220,11853201,adjacent
9223220,11854641,adjacent
9223251,9223443,adjacent
9223251,11597376,adjacent
9223251,11598046,adjacent
9223251,11598556,adjacent
9223251,11599900,adjacent
9223251,11601063,adjacent
9223251,11601308,adjacent
9223251,11601321,adjacent
9223251,11601333,adjacent
9223251,11601345,adjacent
9223251,11602787,adjacent
9223251,11604765,adjacent
9223251,11678708,adjacent
9223251,11719396,adjacent
9223251,11725372,adjacent
9223251,11725669,adjacent
9223251,11725755,adjacent
9223251,11725789,adjacent
9223251,11726129,adjacent
9223251,11726440,adjacent
9223251,11726505,adjacent
9223251,11726514,adjacent
9223251,11749503,adjacent
9223251,11791611,adjacent
9223251,11791614,adjacent
9223251,11791615,adjacent
9223251,11791616,adjacent
9223251,11791617,adjacent
9223251,11791618,adjacent
9223251,11835970,adjacent
9223251,11857654,adjacent
9223251,11857676,adjacent
9223271,11668030,adjacent
9223271,11809276,adjacent
9223271,11809576,adjacent
9223271,11853201,adjacent
9223271,11854072,adjacent
9223292,9223433,adjacent
9223292,9258341,adjacent
9223292,11602787,adjacent
9223292,11603501,adjacent
9223292,11657859,adjacent
9223292,11678708,adjacent
9223292,11710071,adjacent
9223292,11715265,adjacent
9223292,11718313,adjacent
9223292,11718679,adjacent
9223292,11845600,adjacent
9223292,11846164,adjacent
9223292,11846368,adjacent
9223433,9258337,adjacent
9223433,9258341,adjacent
9223433,11596031,adjacent
9223433,11596565,adjacent
9223433,11596575,adjacent
9223433,11657859,adjacent
9223433,11718313,adjacent
9223433,11738219,adjacent
9223433,11738504,adjacent
9223433,11738532,adjacent
9223433,11738572,adjacent
9223443,9258341,adjacent
9223443,11827114,adjacent
9223443,11835853,adjacent
9223443,11835970,adjacent
9258337,11596031,adjacent
9258337,11597376,adjacent
9258337,11598046,adjacent
9258337,11598556,adjacent
9258337,11599001,adjacent
9258337,11604765,adjacent
9258337,11657859,adjacent
9258337,11710071,adjacent
9258337,11725372,adjacent
9258337,11725669,adjacent
9258337,11725755,adjacent
9258337,11725789,adjacent
9258337,11726129,adjacent
9258337,11726440,adjacent
9258337,11726505,adjacent
9258337,11726514,adjacent
9258337,11738532,adjacent
9258337,11738572,adjacent
9258337,11738846,adjacent
9258337,11739007,adjacent
9258337,11739028,adjacent
9258337,11739049,adjacent
9258337,11739095,adjacent
9258337,11739327,adjacent
9258337,11739345,adjacent
