annotation_id,view_name,view_type,category,annotation_type,value,x,y,extra,target_element_ids
46,Elevation C,Elevation,Dimensions,WH_Arial_2.5mm_Transparent,,0.0,0.0,WH_Arial_2.5mm_Transparent,11879960|11826899|2446354
47,Elevation C,Elevation,Dimensions,WH_Arial_2.5mm_Transparent,,0.0,0.0,WH_Arial_2.5mm_Transparent,2446354|11826899|11823191
48,Elevation D,Elevation,Dimensions,WH_Arial_2.5mm_Transparent,,0.0,0.0,WH_Arial_2.5mm_Transparent,2446354|10249694|9223193
49,Elevation C,Elevation,Dimensions,WH_Arial_2.5mm_Transparent,,0.0,0.0,WH_Arial_2.5mm_Transparent,11710450|11710450|11823181|11823181
50,Elevation B,Elevation,Dimensions,WH_Arial_2.5mm_Transparent,,0.0,0.0,WH_Arial_2.5mm_Transparent,10251234|11937512|11823181
51,Elevation D,Elevation,Dimensions,WH_Arial_2.5mm_Transparent,,0.0,0.0,WH_Arial_2.5mm_Transparent,2446354|11857059|9223408
52,Elevation A,Elevation,Dimensions,WH_Arial_2.5mm_Transparent,,0.0,0.0,WH_Arial_2.5mm_Transparent,2446354|12048000|9223410
53,Elevation A,Elevation,Dimensions,WH_Arial_2.5mm_Transparent,,0.0,0.0,WH_Arial_2.5mm_Transparent,11891873|9223410|9223410
54,Elevation D,Elevation,Dimensions,WH_Arial_2.5mm_Transparent,,0.0,0.0,WH_Arial_2.5mm_Transparent,9223408|11891873|2446354
55,Elevation A,Elevation,Dimensions,WH_Arial_2.5mm_Transparent,,0.0,0.0,WH_Arial_2.5mm_Transparent,11710450|11880770|11706336|9267567|2446354|9223412
56,Elevation A,Elevation,Dimensions,WH_Arial_2.5mm_Transparent,,0.0,0.0,WH_Arial_2.5mm_Transparent,9223441|11706336|11710450
57,Elevation C,Elevation,Dimensions,WH_Arial_2.5mm_Transparent,,0.0,0.0,WH_Arial_2.5mm_Transparent,11854084|11937160|11864642|11823181
58,Elevation C,Elevation,Dimensions,WH_Arial_2.5mm_Transparent,110.00,0.0,0.0,WH_Arial_2.5mm_Transparent,11710450|11758747
59,Elevation C,Elevation,Dimensions,WH_Arial_2.5mm_Transparent,,0.0,0.0,WH_Arial_2.5mm_Transparent,2446422|2446354|9223412
60,Elevation C,Elevation,Dimensions,WH_Arial_2.5mm_Transparent,,0.0,0.0,WH_Arial_2.5mm_Transparent,11756530|11879960|11854764|11854523|11896796|11905265
61,Elevation C,Elevation,Dimensions,WH_Arial_2.5mm_Transparent,50.00,0.0,0.0,WH_Arial_2.5mm_Transparent,11854950|11826899
62,Elevation C,Elevation,Dimensions,WH_Arial_2.5mm_Transparent,35.00,0.0,0.0,WH_Arial_2.5mm_Transparent,11826899|11826899
63,Elevation B,Elevation,Dimensions,WH_Arial_2.5mm_Transparent,,0.0,0.0,WH_Arial_2.5mm_Transparent,11823179|11752528|2446354
64,Elevation D,Elevation,Dimensions,WH_Arial_2.5mm_Transparent,,0.0,0.0,WH_Arial_2.5mm_Transparent,11709508|11975866|11759345
65,Elevation D,Elevation,Dimensions,WH_Arial_2.5mm_Transparent,90.00,0.0,0.0,WH_Arial_2.5mm_Transparent,11823179|11856018
66,Elevation D,Elevation,Dimensions,WH_Arial_2.5mm_Transparent,110.00,0.0,0.0,WH_Arial_2.5mm_Transparent,11857174|11709508
67,Elevation D,Elevation,Dimensions,WH_Arial_2.5mm_Transparent,85.00,0.0,0.0,WH_Arial_2.5mm_Transparent,11891873|11891873
68,Elevation C,Elevation,Dimensions,WH_Arial_2.5mm_Transparent,85.00,0.0,0.0,WH_Arial_2.5mm_Transparent,11891873|11891873
69,Elevation C,Elevation,Dimensions,WH_Arial_2.5mm_Transparent,,0.0,0.0,WH_Arial_2.5mm_Transparent,9223412|11754396|11710450|11756530|11823115|11823181
70,Elevation B,Elevation,Dimensions,WH_Arial_2.5mm_Transparent,,0.0,0.0,WH_Arial_2.5mm_Transparent,11823181|11752332|11752528|11823179
71,Elevation D,Elevation,Dimensions,WH_Arial_2.5mm_Transparent,,0.0,0.0,WH_Arial_2.5mm_Transparent,11823179|11910307|11823183|11823183|11910591|11709508|11759345|9223410
72,Elevation C,Elevation,Dimensions,WH_Arial_2.5mm_Transparent,2935.00,0.0,0.0,WH_Arial_2.5mm_Transparent,11826899|10251234
73,Elevation B,Elevation,Dimensions,WH_Arial_2.5mm_Transparent,85.00,0.0,0.0,WH_Arial_2.5mm_Transparent,11823115|11853774
74,Elevation B,Elevation,Dimensions,WH_Arial_2.5mm_Transparent,,0.0,0.0,Alignment,11852893|10251234
75,Elevation B,Elevation,Dimensions,WH_Arial_2.5mm_Transparent,,0.0,0.0,Alignment,11937363|10251234
76,Elevation A,Elevation,Dimensions,WH_Arial_2.5mm_Transparent,,0.0,0.0,WH_Arial_2.5mm_Transparent,11984644|11949904|11706336
77,Elevation C,Elevation,Dimensions,WH_Arial_2.5mm_Transparent,,0.0,0.0,Alignment,11758747|9267567
78,Elevation D,Elevation,Dimensions,WH_Arial_2.5mm_Transparent,,0.0,0.0,Alignment,11857174|9223441
79,Elevation B,Elevation,Dimensions,WH_Arial_2.5mm_Transparent,,0.0,0.0,Alignment,11853704|11823139
80,Elevation C,Elevation,Dimensions,WH_Arial_2.5mm_Transparent,,0.0,0.0,Alignment,11854491|11823191
81,Elevation C,Elevation,Dimensions,WH_Arial_2.5mm_Transparent,,0.0,0.0,Alignment,11905265|11823115
82,Elevation D,Elevation,Dimensions,WH_Arial_2.5mm_Transparent,,0.0,0.0,Alignment,11759345|9223410
83,Elevation D,Elevation,Dimensions,WH_Arial_2.5mm_Transparent,,0.0,0.0,WH_Arial_2.5mm_Transparent,11942431|11942431|10249694
84,Elevation C,Elevation,Dimensions,WH_Arial_2.5mm_Transparent,,0.0,0.0,WH_Arial_2.5mm_Transparent,11754396|11754349|11710450
85,Elevation A,Elevation,Dimensions,Linear Dimension Style,900.00,0.0,0.0,Linear Dimension Style,11978330|11978331
86,Elevation A,Elevation,Dimensions,Linear Dimension Style,580.00,0.0,0.0,Linear Dimension Style,11978330|11978330
87,Elevation A,Elevation,Dimensions,Linear Dimension Style,280.00,0.0,0.0,Linear Dimension Style,11978363|11978364
88,Elevation A,Elevation,Dimensions,Linear Dimension Style,800.00,0.0,0.0,Linear Dimension Style,11978363|11978363
89,Elevation A,Elevation,Dimensions,Linear Dimension Style,240.00,0.0,0.0,Linear Dimension Style,11978375|11978376
90,Elevation A,Elevation,Dimensions,Linear Dimension Style,380.00,0.0,0.0,Linear Dimension Style,11978375|11978375
91,Elevation D,Elevation,Dimensions,WH_Arial_2.5mm_Transparent,90.00,0.0,0.0,WH_Arial_2.5mm_Transparent,11975866|11975866
92,Elevation D,Elevation,Dimensions,WH_Arial_2.5mm_Transparent,,0.0,0.0,WH_Arial_2.5mm_Transparent,2446354|11975866|11994213
93,Elevation D,Elevation,Dimensions,WH_Arial_2.5mm_Transparent,,0.0,0.0,Alignment,11979818|11975866
94,Elevation B,Elevation,Dimensions,WH_Arial_2.5mm_Transparent,,0.0,0.0,Alignment,11834558|11823152
95,Elevation B,Elevation,Dimensions,Linear Dimension Style,240.00,0.0,0.0,Linear Dimension Style,11980192|11980193
96,Elevation B,Elevation,Dimensions,Linear Dimension Style,160.00,0.0,0.0,Linear Dimension Style,11980192|11980192
97,Elevation C,Elevation,Dimensions,WH_Arial_2.5mm_Transparent,,0.0,0.0,Alignment,9223193|11854764
98,Elevation C,Elevation,Dimensions,Linear Dimension Style,600.00,0.0,0.0,Linear Dimension Style,11980562|11980563
99,Elevation C,Elevation,Dimensions,Linear Dimension Style,280.00,0.0,0.0,Linear Dimension Style,11980562|11980562
100,Elevation A,Elevation,Dimensions,Linear Dimension Style,240.00,0.0,0.0,Linear Dimension Style,11981700|11981701
101,Elevation A,Elevation,Dimensions,Linear Dimension Style,218.56,0.0,0.0,Linear Dimension Style,11981700|11981700
