id,category,family,type,level_id,host_id,min_x,min_y,min_z,max_x,max_y,max_z,cx,cy,cz,length,height,thickness,area,width,depth,dir_x,dir_y,dir_z,room_name,room_number,level_elevation
2446354,Levels,Level,WH_Project level,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,408.0544619422572
2446422,Levels,Level,WH_Project level,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,418.96325459317586
7742895,Levels,Level,WH_Project level,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,397.1456692913386
7949054,Levels,Level,WH_Project level,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,429.8720472440945
8170109,Rooms,UnknownFamily,UnknownType,7949054,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Room 1,1,0
8628934,Levels,Level,WH_Project level,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,440.7808398950132
8738110,Walls,Basic Wall,S(90)=90RC_NLBW_PPVC,-1,-1,13.107252290482881,-120.99613927256621,450.6069553805774,13.402527881034063,-114.76256507853253,460.2362204724409,13.254890085758472,-117.87935217554937,455.4215879265091,6.233574194033677,9.629265091863488,0.2952755905511811,0,0,0,0,-1,0,,,0
8738888,Structural Framing,S_BEAM_PPVC,200(W)x295(D),-1,-1,12.746359902044922,-123.42396079487594,449.6391076115485,13.402527881047567,-114.76254347204127,450.6069553805774,13.074443891546245,-119.0932521334586,450.12303149606294,8.661417322834652,0,0,0,0,0,0,0,0,,,0
8738966,Floors,Floor,S(75)=75RC_PPVC,2446422,-1,2.8546276162122495,-123.42398240451757,460.23622047244106,13.402527881047567,-114.76256508193183,460.48228346456705,8.128577748629908,-119.0932737432247,460.35925196850405,0,0,0,88.82647972831988,0,0,0,0,0,,,0
8740545,Floors,Floor,S(130)=130RC_PPVC,2446354,-1,2.6905856111505284,-122.76779281587334,450.1804461942257,12.746359902044933,-114.76253703551919,450.6069553805774,7.7184727565977305,-118.76516492569627,450.39370078740154,0,0,0,80.49901384596885,0,0,0,0,0,,,0
10693233,Levels,Level,WH_Project level,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,350.39370078740154
10693547,Levels,Level,WH_Project level,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,336.04002624671915
