id,category,family,type,level_id,host_id,min_x,min_y,min_z,max_x,max_y,max_z,cx,cy,cz,length,height,thickness,area,width,depth,dir_x,dir_y,dir_z,room_name,room_number,level_elevation
2446354,Levels,Level,WH_Project level,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,408.05446194225726
2446422,Levels,Level,WH_Project level,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,418.96325459317586
7742895,Levels,Level,WH_Project level,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,397.1456692913386
7949054,Levels,Level,WH_Project level,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,429.8720472440945
8170109,Rooms,UnknownFamily,UnknownType,7949054,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Room 1,1,0
8628934,Levels,Level,WH_Project level,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,440.7808398950132
8737333,Walls,Basic Wall,S(200)=200RC_NLBW_PPVC,-1,-1,87.31969227539592,-117.38723278612514,450.54133858267716,90.89580769279621,-116.7310648071225,460.2362204724409,89.10774998409607,-117.05914879662382,455.388779527559,3.576115417400282,9.694881889763755,0.6561679790026247,0,0,0,-1,3.9738244034452336E-15,0,,,0
8737611,Walls,Basic Wall,S(90)=90RC_NLBW_PPVC,-1,-1,90.89580769279556,-114.07358449216181,449.6391076115486,91.19108328334676,-113.28618974120334,460.4822834645669,91.04344548807116,-113.67988711668258,455.06069553805776,0.7873947509584676,10.843175853018295,0.2952755905511811,0,0,0,-1.8047941896873963E-14,-1,0,,,0
8737655,Floors,Floor,S(160)=160RC_PPVC,2446354,-1,84.59659516253524,-125.55652412470776,450.01640419947506,87.31969227539614,-117.38724027319697,450.54133858267716,85.95814371896569,-121.47188219895236,450.2788713910761,0,0,0,22.24575103260956,0,0,0,0,0,,,0
8738448,Structural Framing,S_BEAM_PPVC,200(W)x275(D),-1,-1,83.94042721761481,-126.2126921037104,449.6391076115485,90.8958077950428,-125.55652412470772,450.54133858267716,87.4181175063288,-125.88460811420906,450.0902230971128,6.955380577427987,0,0,0,0,0,0,0,0,,,0
8738452,Structural Framing,S_BEAM_PPVC,200(W)x275(D),-1,-1,90.53491534342879,-125.57186762621235,449.6391076115485,91.19108332243147,-117.38723278612511,450.54133858267716,90.86299933293013,-121.47955020616874,450.0902230971128,8.18463484008724,0,0,0,0,0,0,0,0,,,0
8738462,Floors,Floor,S(140)=140RC_PPVC,2446354,-1,83.94042717167311,-116.73107565110445,449.63912333417295,90.8958076927953,-113.28618974120334,450.0984409194748,87.4181174322342,-115.0086326961539,449.8687821268239,0,0,0,20.93043216719282,0,0,0,0,0,,,0
